id,child,age,year_group,competition_order,age_group,country,gender,fairness1,fairness2,fairness3,fairness4,fairness5,fairness6,fairness7,fairness8,allocation1,allocation2,allocation3,allocation4,allocation5,allocation6,allocation7,allocation8,justification1,justification2,justification3,justification4,justification5,justification6,justification7,justification8
C4E11,65,70,Senior,competition first,Older,CN,Female,unfair,unfair,fair,fair,fair,fair,fair,fair,UFad,UFdis,Fair,Fair,Fair,Fair,Fair,Fair,Desire,Affiliation,Norm,Norm,Norm,Norm,Norm,Norm
C4E12,66,69,Senior,competition first,Older,CN,Male,fair,unfair,fair,unfair,fair,unfair,unfair,unfair,Fair,UFad,Fair,UFdis,Fair,UFad,UFdis,UFad,Norm,Desire,Norm,Norm,Norm,Desire,Norm,Desire
C4E13,67,76,Senior,competition first,Older,CN,Male,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Conduct,Norm,Affiliation,Norm,Conduct,Norm,Affiliation,Norm
C4E14,68,75,Senior,competition first,Older,CN,Male,fair,unfair,fair,unfair,fair,fair,fair,unfair,Fair,UFad,Fair,UFad,Fair,Fair,Fair,UFad,Norm,Desire,Norm,Desire,Norm,Norm,Norm,Desire
C4E15,69,73,Senior,competition first,Older,CN,Female,unfair,fair,fair,fair,unfair,fair,unfair,fair,UFad,Fair,Fair,Fair,UFad,Fair,UFad,Fair,Desire,Affiliation,Norm,Norm,Desire,Norm,Desire,Norm
C4E16,70,73,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,fair,fair,fair,fair,UFad,Fair,UFad,Fair,Fair,Fair,Fair,Fair,Desire,Norm,Desire,Norm,Norm,Norm,Norm,Norm
C4E17,71,76,Senior,competition first,Older,CN,Male,unfair,fair,fair,fair,fair,fair,fair,fair,UFdis,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Affiliation,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E18,72,75,Senior,competition first,Older,CN,Male,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Desire,Norm,Desire,Norm,Desire,Norm,Desire,Norm
C4E19,73,75,Senior,competition first,Older,CN,Male,unfair,unfair,unfair,fair,fair,fair,fair,fair,UFad,UFad,UFad,Fair,Fair,Fair,Fair,Fair,Desire,Desire,Desire,Norm,Norm,Norm,Norm,Norm
C4E20,74,75,Senior,competition first,Older,CN,Male,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E21,75,73,Senior,competition first,Older,CN,Male,unfair,fair,fair,fair,fair,fair,fair,unfair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,UFad,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Desire
C4E22,76,73,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,fair,fair,fair,fair,UFdis,Fair,UFdis,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E23,77,72,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Uncodable,Norm,Desire,Norm,Desire,Norm,Desire,Norm
C4E24,78,72,Senior,competition first,Older,CN,Female,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E25,79,77,Senior,competition first,Older,CN,Female,unfair,fair,fair,fair,fair,fair,fair,fair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4C01,80,72,Senior,control first,Older,CN,Male,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4C02,81,75,Senior,control first,Older,CN,Male,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Desire,Norm,Norm,Norm
C4C03,82,74,Senior,control first,Older,CN,Female,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4C04,83,71,Senior,control first,Older,CN,Male,unfair,fair,fair,fair,fair,unfair,unfair,fair,UFad,Fair,Fair,Fair,Fair,UFdis,UFad,Fair,Desire,Affiliation,Norm,Norm,Norm,Affiliation,Affiliation,Norm
C4C05,84,69,Senior,control first,Older,CN,Female,fair,fair,unfair,fair,unfair,fair,fair,fair,Fair,Fair,UFdis,Fair,UFdis,Fair,Fair,Fair,Norm,Norm,Affiliation,Norm,Affiliation,Norm,Norm,Norm
C4C06,85,71,Senior,control first,Older,CN,Male,unfair,fair,fair,fair,fair,fair,fair,fair,UFdis,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Affiliation,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4C07,86,75,Senior,control first,Older,CN,Female,unfair,fair,unfair,fair,fair,unfair,fair,fair,UFdis,Fair,UFad,Fair,Fair,UFad,Fair,Fair,Affiliation,Norm,Affiliation,Norm,Norm,Desire,Norm,Norm
C4C08,87,73,Senior,control first,Older,CN,Male,unfair,unfair,unfair,fair,unfair,unfair,fair,fair,UFad,UFad,UFad,Fair,UFad,UFad,Fair,Fair,Desire,Desire,Desire,Norm,Desire,Desire,Norm,Norm
C4C09,88,70,Senior,control first,Older,CN,Male,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Desire,Norm,Norm,Norm
C4C10,89,71,Senior,control first,Older,CN,Female,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFdis,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Affiliation,Norm,Norm,Norm
C4C11,90,72,Senior,control first,Older,CN,Female,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFdis,Fair,Desire,Norm,Desire,Norm,Desire,Norm,Affiliation,Norm
C4C12,91,69,Senior,control first,Older,CN,Male,unfair,fair,fair,unfair,unfair,fair,fair,fair,UFdis,Fair,Fair,UFdis,UFdis,Fair,Fair,Fair,Affiliation,Norm,Norm,Affiliation,Affiliation,Norm,Norm,Norm
C4C13,92,72,Senior,control first,Older,CN,Male,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4C14,93,75,Senior,control first,Older,CN,Male,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Desire,Norm,Desire,Norm,Desire,Norm,Desire,Norm
C4C15,94,74,Senior,control first,Older,CN,Male,unfair,fair,unfair,fair,fair,fair,fair,fair,UFad,Fair,UFad,Fair,Fair,Fair,Fair,Fair,Desire,Norm,Desire,Norm,Norm,Norm,Norm,Norm
C4C16,95,73,Senior,control first,Older,CN,Male,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Desire,Norm,Norm,Norm
C4C17,96,73,Senior,control first,Older,CN,Female,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFdis,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Affiliation,Norm,Norm,Norm
C4C18,97,79,Senior,control first,Older,CN,Female,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Desire,Desire,Desire,Norm,Desire,Norm,Desire,Norm
C4C19,98,78,Senior,control first,Older,CN,Female,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Desire,Norm,Norm,Norm
C4C20,99,78,Senior,control first,Older,CN,Male,unfair,fair,fair,fair,unfair,fair,unfair,fair,UFdis,Fair,Fair,Fair,UFdis,Fair,UFad,Fair,Affiliation,Norm,Norm,Norm,Affiliation,Norm,Desire,Norm
C4C21,100,78,Senior,control first,Older,CN,Male,fair,unfair,fair,fair,unfair,unfair,unfair,unfair,Fair,UFad,Fair,Fair,UFad,UFad,UFad,UFad,Norm,Desire,Norm,Norm,Desire,Desire,Desire,Desire
C4C22,101,77,Senior,control first,Older,CN,Female,unfair,fair,fair,fair,unfair,unfair,fair,fair,UFad,Fair,Fair,Fair,UFad,UFdis,Fair,Fair,Desire,Norm,Norm,Norm,Desire,Desire,Norm,Norm
C4C23,102,77,Senior,control first,Older,CN,Female,fair,fair,fair,fair,unfair,fair,unfair,fair,Fair,Fair,Fair,Fair,UFdis,Fair,UFdis,Fair,Norm,Norm,Norm,Norm,Affiliation,Norm,Affiliation,Norm
